id,premises,question_id,conclusion,label
RelNeg-OWA-D1-728,"The dog is big.
The dog is not green.
The dog is not red.
The dog is round.
The dog needs the lion.
The dog sees the lion.
The dog visits the lion.
The lion is not big.
The lion is green.
The lion is kind.
The lion is red.
The lion is round.
The lion needs the dog.
The lion sees the dog.
The lion visits the dog.
If the lion visits the dog and the dog visits the lion then the lion sees the dog.
If something visits the lion then it does not see the dog.
If something needs the lion and it does not visit the lion then the lion needs the dog.",Q8,The dog is kind.,Uncertain
RelNoneg-OWA-D2-1760,"The bald eagle is green.
The bald eagle is red.
The tiger is red.
If something visits the bald eagle and it is blue then the bald eagle likes the tiger.
If something visits the bald eagle and it is red then the bald eagle needs the tiger.
If something needs the bald eagle and the bald eagle is red then the bald eagle likes the tiger.
If something is green then it needs the bald eagle.
If something visits the bald eagle then the bald eagle visits the tiger.
If something is blue and it likes the tiger then the tiger likes the bald eagle.",Q12,The bald eagle visits the bald eagle.,Uncertain
RelNoneg-OWA-D3-527,"The bald eagle eats the lion.
The bald eagle eats the tiger.
The bald eagle is green.
The bald eagle needs the mouse.
The bald eagle sees the mouse.
The bald eagle sees the tiger.
The lion eats the bald eagle.
The lion eats the mouse.
The lion is red.
The lion needs the mouse.
The mouse is red.
The mouse is round.
The mouse needs the lion.
The mouse sees the bald eagle.
The mouse sees the lion.
The tiger needs the lion.
If someone needs the mouse and they need the tiger then the mouse is green.
If someone is nice and they need the mouse then they eat the mouse.
If someone is green and they see the tiger then the tiger needs the bald eagle.
If someone is round and they see the tiger then the tiger is red.
If someone sees the bald eagle then the bald eagle is cold.
If someone is green then they need the tiger.",Q8,The mouse does not need the tiger.,False
AttNonegNatLang-OWA-208,"Charlie is a really nice guy with a big round body, usually wearing red.
Dave seems to be round.
That guy Eric sure is nice.
Fred is still young, which explains why he is round and cold, however, most people still think Fred is nice.
Some cold people can be nice at times,and red at at other times.
Rough people who are red in color and big are usally round in shape.
I've noticed that nice people who have rough, green skin have a tendancy to be round.
Having cold and red qualities means a person will also have a rough quality.
Is a kind person if feeling cold and looking red then they are usually young.
Red people, who are also round and young, are often quite blue as well.
When someone is blue, nice and young they will also be as big as the sun.",Q11,Charlie is not blue.,Uncertain
AttNonegNatLang-OWA-436,"Bob may be young but he is nice, wears green shoes and is cold.
Eric was proud of being round, yet rough.
His red cheeks glowed.
Fred is feeling cold -- he is also feeling quite rough, red, nice and round.
Folks who are rough and tumble yet gentle and kind are blue.
When green, young and round fits a person, you'll see that rough will also fit.
Cold and red people are always kind to others.
If you know someone who is nice, green, and big, you know a young person.
A person who is cold and red and blue is big.",Q6,Fred is not blue.,False
AttNoneg-OWA-D0-263,"Bob is furry.
Bob is rough.
Bob is white.
Bob is young.
Charlie is green.
Charlie is quiet.
Charlie is rough.
Charlie is round.
Charlie is young.
Harry is furry.
Harry is green.
Harry is quiet.
Harry is rough.
Harry is round.
Harry is white.
Harry is young.
Round things are white.
If something is rough then it is furry.
All rough things are furry.",Q1,Charlie is young.,True
RelNoneg-OWA-D3-204,"The dog is big.
If the dog is young then the dog is blue.
Big things are kind.
All kind things are young.",Q11,The dog is not cold.,Uncertain
RelNoneg-OWA-D3-1383,"The rabbit is cold.
If something is rough and kind then it is blue.
Nice, rough things are kind.
If the rabbit is cold then the rabbit is nice.
Kind things are nice.
Cold things are kind.
All nice things are rough.",Q3,The rabbit is nice.,True
AttNonegNatLang-OWA-243,"That guy Alan sure is nice.
Bob is cold but nice with red hair and dresses green.
Young Dave here is always rough but nice and yes he is big.
Eric seems to be round.
If you run across a young person with rough skin and a round figure, you can count on them being kind.
When you meet someone who is nice and kind, they wont feel blue.
Even though young people are rough, they are still very red.
Rough, cold people are blue.
Big people who are blue and red are afflicted with rough skin.
A young person who is big and rough and big is also usually round.
People who are round and green while being cold are also red.",Q15,Alan is not big.,Uncertain
RelNoneg-OWA-D0-4160,"The cow is cold.
The cow is kind.
The cow is red.
The cow is rough.
The cow is round.
All cold people are red.
Rough people are kind.
If someone is kind and round then they are cold.
All kind people are cold.
If someone is rough then they are red.
All cold people are round.",Q1,The cow is round.,True
RelNoneg-OWA-D3-713,"The mouse chases the squirrel.
The mouse is big.
The mouse is blue.
The mouse is young.
The mouse sees the squirrel.
The squirrel is big.
The squirrel is blue.
The squirrel is round.
The squirrel sees the mouse.
The squirrel visits the mouse.
If something visits the mouse then the mouse chases the squirrel.
If the squirrel sees the mouse and the squirrel is young then the squirrel is round.
If something is nice then it visits the mouse.
If something is big and it chases the squirrel then it visits the squirrel.
If the squirrel visits the mouse and the mouse visits the squirrel then the mouse is nice.
If something chases the squirrel and the squirrel chases the mouse then it visits the squirrel.",Q3,The mouse visits the squirrel.,True
AttNoneg-OWA-D0-4463,"Bob is smart.
Erin is blue.
Erin is green.
Erin is red.
Erin is rough.
Harry is red.
Harry is smart.
Furry things are smart.
If something is smart and green then it is furry.",Q3,Harry is not furry.,Uncertain
AttNonegNatLang-OWA-200,"Alan is big, rough and red, but that's because he's often blue.
Really, his is nice and kind.
Dave is cold to his ex-wife.
She knows he is round and red.
He is kind to everyone else.
Fred is green and cold too.
If a person is described as being nice, cold and young it usually follow that they are red.
A person who is blue, red and nice is usually considered to be a young person.
It's pretty typical of red, rough, and cold people to be round.
A young aged and big blue person will definitely be cold.
A kind person will certainly be young.",Q12,Eric is young.,Uncertain
RelNeg-OWA-D3-1576,"The bear eats the squirrel.
The bear is cold.
The bear is nice.
The bear needs the tiger.
The squirrel chases the bear.
The squirrel is cold.
The squirrel is young.
The squirrel needs the bear.
The tiger does not eat the bear.
The tiger is young.
If the bear chases the tiger and the tiger does not eat the squirrel then the tiger chases the bear.
If something eats the tiger then it chases the squirrel.
If something needs the tiger then it eats the tiger.
All blue things are nice.
If something eats the squirrel then it is blue.
If something eats the squirrel and the squirrel chases the bear then the squirrel needs the tiger.
If the tiger chases the squirrel and the squirrel does not eat the tiger then the squirrel is not green.
If something is nice and it does not chase the bear then it needs the squirrel.",Q14,The tiger is cold.,Uncertain
AttNeg-OWA-D3-1717,"Bob is big.
Bob is blue.
Bob is nice.
Fiona is cold.
Fiona is nice.
Fiona is not rough.
Gary is blue.
Gary is kind.
Gary is nice.
Harry is big.
Harry is cold.
Harry is rough.
All blue things are big.
If Gary is big and Gary is not kind then Gary is blue.
Big, cold things are red.
All big things are cold.
All rough, blue things are nice.
If something is nice and blue then it is rough.",Q1,Fiona is nice.,True
AttNoneg-OWA-D0-4464,"Anne is red.
Anne is young.
Bob is smart.
Fiona is furry.
Fiona is smart.
Gary is cold.
Gary is smart.
If someone is blue then they are nice.
If someone is nice then they are red.
Nice, smart people are young.
All furry people are blue.
If someone is blue then they are red.
If Fiona is cold then Fiona is smart.
If someone is furry then they are smart.
Red, furry people are smart.",Q3,Anne is not nice.,Uncertain
AttNeg-OWA-D3-1203,"Charlie is big.
Charlie is blue.
Fiona is not blue.
Fiona is furry.
Fiona is red.
Fiona is not round.
Gary is not big.
Gary is cold.
Harry is big.
Harry is red.
Harry is round.
Harry is young.
Blue things are young.
If Gary is round and Gary is cold then Gary is not furry.
Young, cold things are furry.
All young things are furry.
If something is furry and not young then it is red.
All furry things are red.",Q9,Gary is not furry.,Uncertain
RelNeg-OWA-D3-991,"The bald eagle is big.
The bear needs the cat.
The cat does not chase the bald eagle.
The lion is big.
If someone is kind then they do not eat the lion.
If the bald eagle is big then the bald eagle needs the lion.
If someone is rough and they chase the bear then they do not need the bear.
If someone needs the lion then the lion is kind.
If someone needs the bear then they chase the lion.
If someone chases the bear and they are kind then the bear chases the bald eagle.",Q16,The bald eagle is rough.,Uncertain
RelNeg-OWA-D3-1427,"The cat eats the rabbit.
The rabbit eats the tiger.
The tiger sees the cat.
If the tiger does not see the rabbit then the tiger is round.
If the cat needs the tiger then the tiger is round.
If something needs the cat then the cat does not need the tiger.
If something sees the tiger then the tiger is big.
If the tiger is round then the tiger needs the rabbit.
If something eats the rabbit then it needs the tiger.",Q2,The tiger does not see the cat.,False
